freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
3.23-3.4,0.0032-0.0034,kHz,,,,FIXED | MOBILE except aeronautical mobile | Radiolocation,US340,,,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3.4-3.5,0.0034-0.0035,kHz,,,,AERONAUTICAL MOBILE (R),US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3.5-3.75,0.0035-0.0037,kHz,AMATEUR,5.119,AMATEUR | FIXED | MOBILE,,US340,AMATEUR,US340,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3.75-4,0.0037-0.0040,kHz,AMATEUR | FIXED | MOBILE except aeronautical mobile (R),5.122 5.125,,,,,,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4-4.063,0.0040-0.0041,kHz,,,,FIXED | MARITIME MOBILE,US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.063-4.438,0.0041-0.0044,kHz,,,,MARITIME MOBILE 5.79A 5.109 5.110 5.130 5.131 5.132 US82,US296 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.438-4.488,0.0044-0.0045,kHz,FIXED | MOBILE except aeronautical | mobile (R) | RADIOLOCATION 5.132A,,FIXED | MOBILE except aeronautical mobile | Radiolocation 5.132A,FIXED | MOBILE except aeronautical mobile (R) | RADIOLOCATION 5.132A,US340,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.488-4.65,0.0045-0.0047,kHz,,,FIXED | MOBILE except aeronautical mobile,FIXED | MOBILE except aeronautical mobile (R),US22 US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.65-4.7,0.0047-0.0047,kHz,,,,AERONAUTICAL MOBILE (R),US282 US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.7-4.75,0.0047-0.0047,kHz,,,,AERONAUTICAL MOBILE (OR),US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
