freq_low_mhz,freq_high_mhz,country,region,service,status,application,footnotes,typical_devices,source,note
13.553000,13.567000,FRA,CEPT-FRA,SRD,PRIMARY,ISM 13.56 MHz (RFID/NFC),5.150,"NFC tags; RFID HF; metro/transit cards (Navigo); contactless payment cards",ARCEP TNRBF / ERC 70-03,Same as Region 1
13.553000,13.567000,DEU,CEPT-DEU,SRD,PRIMARY,ISM 13.56 MHz (RFID/NFC),5.150,"NFC tags; RFID HF; Girokarte contactless; DB Touch&Travel",BNetzA Allgemeinzuteilung NFC,Same as Region 1
13.553000,13.567000,GBR,CEPT-GBR,SRD,PRIMARY,ISM 13.56 MHz (RFID/NFC),5.150,"NFC tags; RFID HF; Oyster card (London); contactless payment",Ofcom IR 2030 / EN 300 330,Same as Region 1
13.553000,13.567000,ESP,CEPT-ESP,SRD,PRIMARY,ISM 13.56 MHz (RFID/NFC),5.150,"NFC tags; RFID HF; contactless payment",CNAF nota UN-130,Same as Region 1
13.553000,13.567000,ITA,CEPT-ITA,SRD,PRIMARY,ISM 13.56 MHz (RFID/NFC),5.150,"NFC tags; RFID HF; contactless payment",MIMIT Piano Nazionale Frequenze,Same as Region 1
26.957000,27.283000,FRA,CEPT-FRA,SRD,PRIMARY,CB radio (40 channels) + ISM,5.150,"CB radios 40 channels (4W FM max); RC toys; ISM industrial",ARCEP TNRBF / décision n° 2014-1263,EU CB harmonised
26.957000,27.283000,DEU,CEPT-DEU,SRD,PRIMARY,CB radio (80 channels) + ISM,5.150,"CB radios (DE has 80 channels SSB up to 12W); ISM",BNetzA Allgemeinzuteilung Vfg 30/2018,DE allows extended CB
26.957000,27.283000,GBR,CEPT-GBR,SRD,PRIMARY,CB radio (40 channels FM) + ISM,5.150,"CB radios 40 channels FM (4W); ISM",Ofcom IR 2027 / WT 2009 SI 2009/2461,UK CB
26.957000,27.283000,ESP,CEPT-ESP,SRD,PRIMARY,CB radio + ISM,5.150,"CB radios; RC toys; ISM industrial heaters",CNAF nota UN-7,Spain CB
26.957000,27.283000,ITA,CEPT-ITA,SRD,PRIMARY,CB radio + ISM,5.150,"CB radios; RC toys; ISM",MIMIT / Codice Comunicazioni Elettroniche,Italy CB
87.500000,108.000000,FRA,CEPT-FRA,BROADCASTING (FM),PRIMARY,FM broadcast,5.190,"FM stations (Radio France, NRJ, etc.); FM transmitters for cars",ARCOM (ex-CSA) plans,FM band EU
